Product ID,Date,Sales Quantity,Price,Promotions,Seasonality Factors,External Factors,Demand Trend,Customer Segments
4277,1/3/2024,293,24.38,No,Festival,Competitor Pricing,Increasing,Regular
5540,4/29/2024,199,74.98,Yes,Holiday,Weather,Stable,Premium
5406,1/11/2024,263,24.83,Yes,Holiday,Economic Indicator,Decreasing,Premium
5617,4/4/2024,280,13.41,No,,Economic Indicator,Stable,Regular
3480,12/14/2024,198,94.96,Yes,Festival,Weather,Increasing,Regular
7315,11/25/2024,229,59.54,Yes,Festival,,Stable,Premium
2902,11/13/2024,276,35.61,No,,,Increasing,Budget
6892,1/4/2024,243,55.03,Yes,Festival,,Stable,Regular
4497,10/25/2024,270,33.53,No,,Economic Indicator,Increasing,Premium
8079,10/22/2024,95,83.65,No,Holiday,,Decreasing,Budget
3900,5/13/2024,325,31.01,Yes,,Economic Indicator,Increasing,Regular
6894,4/1/2024,333,27.17,Yes,Festival,Economic Indicator,Increasing,Budget
7767,7/6/2024,319,15.8,Yes,Festival,Competitor Pricing,Stable,Budget
9582,6/30/2024,92,79.15,No,Holiday,Weather,Decreasing,Regular
9817,5/10/2024,275,52.82,Yes,Holiday,Weather,Increasing,Budget
3845,2/27/2024,166,65.58,No,Holiday,Competitor Pricing,Stable,Regular
1206,3/9/2024,261,36.76,No,Holiday,Competitor Pricing,Increasing,Premium
6606,5/6/2024,125,92.94,Yes,Festival,Weather,Decreasing,Premium
2197,12/24/2024,126,84.65,No,Festival,Competitor Pricing,Stable,Budget
5705,8/16/2024,301,15.72,No,,Weather,Increasing,Budget
4540,8/12/2024,143,86.78,Yes,Holiday,Competitor Pricing,Decreasing,Regular
4784,11/25/2024,137,80.55,No,,Weather,Stable,Premium
3265,1/3/2024,327,31.6,Yes,,Weather,Increasing,Budget
4085,12/28/2024,183,34.55,No,,Competitor Pricing,Decreasing,Regular
6410,12/24/2024,183,81.72,Yes,,Competitor Pricing,Stable,Budget
4740,7/28/2024,230,34.78,No,Holiday,Competitor Pricing,Stable,Budget
9964,12/9/2024,253,65.22,Yes,Festival,,Increasing,Premium
2288,11/29/2024,312,39.79,Yes,Festival,Economic Indicator,Increasing,Regular
5324,5/18/2024,123,66.76,No,,Weather,Decreasing,Budget
6592,8/23/2024,102,98.12,No,Holiday,Competitor Pricing,Stable,Regular
5840,6/26/2024,285,25.74,No,Holiday,Economic Indicator,Increasing,Budget
8498,1/22/2024,269,19.82,No,,Economic Indicator,Stable,Regular
2338,7/31/2024,257,46.38,Yes,,Competitor Pricing,Stable,Premium
8532,9/1/2024,107,93.36,No,Holiday,,Stable,Regular
9185,3/1/2024,185,79.44,No,Holiday,Weather,Increasing,Regular
5691,5/10/2024,151,50.95,No,Festival,Competitor Pricing,Decreasing,Regular
6335,3/17/2024,193,58.89,Yes,,,Decreasing,Premium
1355,3/1/2024,236,51.9,Yes,Festival,Economic Indicator,Stable,Budget
9700,5/18/2024,151,91.0,No,Festival,,Increasing,Budget
4783,2/26/2024,88,86.17,No,Festival,,Decreasing,Regular
8997,5/31/2024,213,25.26,No,,Competitor Pricing,Decreasing,Budget
6985,8/27/2024,295,7.55,Yes,Festival,Competitor Pricing,Decreasing,Regular
9816,2/25/2024,221,58.8,No,,Economic Indicator,Increasing,Regular
6739,6/14/2024,313,12.65,No,Holiday,Competitor Pricing,Increasing,Premium
3824,4/27/2024,255,18.38,No,Holiday,,Stable,Budget
5747,4/6/2024,244,6.04,No,Holiday,,Decreasing,Premium
9141,2/2/2024,312,37.49,Yes,Festival,,Increasing,Premium
9801,3/23/2024,241,11.71,No,Holiday,Economic Indicator,Decreasing,Regular
7579,1/6/2024,245,48.0,No,Festival,Competitor Pricing,Increasing,Regular
1282,11/17/2024,204,48.4,Yes,Festival,,Decreasing,Premium
2214,5/6/2024,358,16.43,Yes,Holiday,Competitor Pricing,Increasing,Premium
1675,11/1/2024,231,13.52,No,,Economic Indicator,Decreasing,Budget
6460,2/13/2024,336,5.09,Yes,Festival,,Stable,Premium
7144,12/12/2024,228,17.46,No,Holiday,,Decreasing,Premium
9868,11/29/2024,141,81.66,No,,Competitor Pricing,Stable,Regular
9222,8/18/2024,211,26.71,No,,Competitor Pricing,Decreasing,Premium
8158,10/15/2024,63,96.2,No,Holiday,Competitor Pricing,Decreasing,Regular
8688,1/6/2024,129,84.72,No,Holiday,,Stable,Regular
2230,9/5/2024,310,40.71,Yes,Holiday,Competitor Pricing,Increasing,Regular
9394,10/29/2024,291,26.78,No,Festival,Weather,Increasing,Regular
2100,11/30/2024,296,25.31,Yes,Holiday,Weather,Stable,Budget
2997,11/7/2024,274,12.33,No,,,Stable,Regular
4770,12/3/2024,163,45.64,No,,Competitor Pricing,Decreasing,Regular
6545,4/25/2024,161,66.21,No,Festival,Competitor Pricing,Stable,Regular
6112,11/15/2024,237,53.25,No,Holiday,,Increasing,Budget
8589,12/8/2024,333,31.85,Yes,Festival,,Increasing,Premium
8758,7/25/2024,328,5.43,No,,Economic Indicator,Increasing,Premium
1760,11/19/2024,144,80.32,No,Holiday,Weather,Stable,Regular
1320,10/1/2024,244,48.7,No,Holiday,Competitor Pricing,Increasing,Premium
6547,5/8/2024,235,55.78,Yes,Festival,,Stable,Budget
1105,8/18/2024,205,53.12,Yes,Festival,Economic Indicator,Decreasing,Premium
6040,10/27/2024,294,51.77,Yes,Holiday,Competitor Pricing,Increasing,Regular
5036,4/17/2024,231,54.11,No,Festival,,Increasing,Budget
