Product ID,Stock Levels,Supplier Lead Time (days),Stockout Frequency,Reorder Point,Expiry Date,Warehouse Capacity,Order Fulfillment Time (days)
9286,700,10,0,132,1/15/2024,1052,6
2605,82,11,1,127,12/16/2024,1262,9
2859,145,25,0,192,4/30/2024,1457,12
2374,151,17,3,19,12/16/2024,2944,3
7678,714,12,0,21,8/5/2024,3739,7
8620,11,25,11,193,5/1/2024,3988,11
7599,960,3,0,185,8/10/2024,4383,13
7327,111,14,6,25,5/28/2024,1373,3
1002,569,10,0,141,11/29/2024,4949,13
8343,462,9,0,193,6/2/2024,2429,8
8078,271,11,0,173,9/19/2024,1854,4
2105,87,25,4,196,4/12/2024,4019,8
5907,410,3,0,88,10/1/2024,4350,2
2319,301,10,0,92,10/3/2024,1737,10
4733,611,10,0,190,2/19/2024,3714,4
4093,167,4,0,114,11/20/2024,4808,5
4493,732,8,0,179,10/28/2024,4095,14
8402,152,20,0,189,4/14/2024,3030,4
6046,317,4,0,156,6/25/2024,1338,2
9090,964,10,0,90,6/8/2024,2564,6
3164,620,11,0,136,6/24/2024,4761,14
6816,947,17,0,63,1/30/2024,4537,1
3099,462,28,0,195,3/28/2024,2813,1
5425,253,1,0,59,1/17/2024,3209,2
7648,482,25,0,152,4/11/2024,4961,7
6841,789,6,0,105,5/11/2024,2024,1
9337,38,7,2,172,7/19/2024,4313,12
1369,217,1,0,32,2/14/2024,1005,11
1240,127,11,0,154,6/10/2024,3355,1
4415,50,23,10,117,4/29/2024,4664,5
2852,82,10,0,154,6/6/2024,1158,5
9439,66,12,3,151,7/3/2024,1463,5
5332,441,28,0,11,6/10/2024,1831,6
8800,204,7,0,128,3/27/2024,3063,5
5128,484,23,0,183,9/30/2024,4075,4
9258,446,8,0,65,7/2/2024,1898,9
8519,725,8,0,126,6/23/2024,2617,8
2750,846,5,0,170,5/9/2024,2392,6
3169,797,4,0,73,6/5/2024,1154,2
1012,870,22,0,98,7/28/2024,2922,12
6063,131,24,2,113,11/5/2024,3486,12
8037,531,24,0,53,7/5/2024,2817,14
9443,934,5,0,102,7/9/2024,1586,7
6954,738,2,0,188,9/24/2024,2572,10
6227,639,20,0,192,11/25/2024,3264,11
6727,570,21,0,73,12/5/2024,2095,1
2615,538,5,0,25,1/9/2024,3756,2
4990,515,28,0,154,12/23/2024,4972,9
2321,302,26,0,97,3/2/2024,3240,8
9005,669,27,0,82,6/30/2024,2264,10
5367,383,26,0,149,4/3/2024,1051,5
1356,643,16,0,141,3/12/2024,2109,4
7667,515,20,0,143,11/21/2024,4655,7
2327,61,1,0,136,11/2/2024,1826,7
3156,146,20,0,122,9/11/2024,3060,7
5873,247,22,0,155,2/23/2024,1473,13
5761,621,3,0,39,11/13/2024,4875,3
7874,499,26,0,104,11/5/2024,2992,3
1294,949,13,0,198,11/8/2024,2465,13
7491,942,14,0,39,12/6/2024,3020,14
4547,559,22,0,144,3/24/2024,4953,5
1376,694,25,0,193,11/7/2024,4430,5
9936,614,14,0,14,3/6/2024,2652,11
6489,908,12,0,124,4/20/2024,4919,3
8813,639,16,0,76,11/1/2024,1130,1
1085,536,1,0,160,3/11/2024,3468,13
7236,369,23,0,135,3/4/2024,1410,3
8520,843,12,0,75,9/4/2024,3447,5
8654,844,17,0,175,11/13/2024,2329,4
2211,709,17,0,15,6/10/2024,4602,7
