Product ID,Price,Competitor Prices,Discounts,Sales Volume,Customer Reviews,Return Rate (%),Storage Cost,Elasticity Index
9502,31.61,56.14,19.68,590,3,13.33,6.72,1.78
2068,35.51,63.04,16.88,570,3,1.5,8.38,1.67
7103,6.54,30.61,10.86,505,3,9.44,3.86,2.46
5288,13.61,15.94,45.28,892,1,15.11,8.8,0.88
7212,62.68,30.64,33.48,654,3,19.62,9.74,1.0
4809,44.87,68.31,28.35,669,4,3.05,7.01,1.48
2127,34.99,88.04,27.67,691,2,3.62,7.76,2.45
2914,27.91,59.28,5.15,463,2,18.96,6.29,1.7
7111,57.49,8.87,21.56,448,4,6.01,5.28,1.99
3500,62.71,75.97,25.07,584,2,15.82,5.65,2.0
6842,12.02,59.85,41.37,901,3,19.53,3.96,1.5
4766,63.8,7.16,48.63,731,3,12.26,3.07,1.65
8681,59.02,94.67,47.4,839,4,0.29,7.59,1.72
7044,20.23,5.57,6.96,394,3,13.68,4.46,2.37
2376,39.26,91.32,20.39,615,2,10.96,7.93,2.32
9814,74.7,7.05,40.96,630,1,10.73,4.34,1.31
3161,73.32,85.14,4.17,384,2,3.88,4.13,1.08
9681,47.46,5.97,25.59,578,4,15.9,7.94,0.97
3684,20.31,82.82,12.55,642,1,17.16,2.84,0.78
8289,64.62,90.65,39.44,748,4,19.4,8.81,2.12
2211,88.65,54.55,5.21,275,2,14.8,7.08,2.15
1343,68.81,35.24,11.05,364,3,13.49,9.7,1.97
6001,43.99,15.64,44.21,817,4,17.62,5.69,0.6
9130,46.39,74.51,13.39,527,4,12.19,3.93,1.59
2760,32.47,99.4,15.18,682,2,12.49,7.3,0.57
6920,90.91,68.33,37.19,627,1,14.88,7.21,1.77
5122,20.78,59.2,43.09,918,2,7.2,7.39,0.83
8445,65.6,44.04,1.02,271,2,4.51,5.03,2.1
7375,65.77,90.17,10.71,499,4,7.28,6.78,0.57
6990,70.35,96.04,35.14,735,1,5.13,8.12,0.96
7309,5.48,11.21,49.21,896,1,14.93,8.56,2.08
2665,98.37,87.65,6.91,312,3,11.97,5.32,2.04
6911,32.66,29.86,36.59,773,1,13.84,2.94,0.89
8109,94.26,29.21,19.33,347,1,16.02,6.6,2.02
1792,40.25,13.52,10.14,383,1,19.09,7.69,1.95
6020,47.43,27.33,30.11,617,2,19.6,3.57,1.54
6654,92.37,47.49,21.28,407,2,10.56,4.43,1.93
7945,32.07,65.22,25.07,627,3,15.34,6.84,2.44
6028,68.28,56.26,25.66,527,4,12.85,3.02,2.3
9905,52.76,84.37,3.77,442,3,14.25,3.66,1.67
5279,35.31,17.69,25.34,605,3,4.67,9.1,1.4
2220,47.39,14.75,4.01,392,3,17.83,4.27,0.51
4303,26.27,56.06,2.34,474,2,6.32,7.59,1.03
9252,58.19,89.62,18.72,526,2,11.38,2.05,2.43
2577,43.37,34.56,12.5,481,1,17.6,2.43,1.14
5959,76.28,38.72,16.43,450,3,14.72,3.26,0.88
4684,96.4,18.28,8.58,254,3,6.71,1.01,1.48
2324,29.39,58.88,43.85,828,2,17.93,8.53,2.24
2543,29.91,95.4,1.69,452,4,4.16,5.46,2.45
6634,50.62,88.05,15.84,527,2,17.06,7.91,2.31
1099,63.67,96.3,37.93,737,2,17.41,3.82,1.56
9183,70.96,90.57,26.63,639,1,0.54,4.98,1.12
8470,18.36,27.78,15.9,566,1,9.53,2.35,1.45
9548,14.05,79.26,5.25,560,2,13.59,5.12,1.16
4764,95.18,16.7,27.42,435,4,14.15,3.2,1.34
9086,27.77,20.67,31.19,680,1,17.05,5.29,1.67
5066,23.16,21.6,11.33,546,4,7.05,8.62,0.54
1791,5.64,29.04,49.37,967,1,18.06,9.65,0.73
1054,91.18,54.43,45.52,736,4,1.16,6.41,0.64
3178,63.82,9.35,4.78,319,3,12.26,6.34,0.73
2868,23.87,36.91,48.94,916,1,12.38,8.04,1.16
4021,56.06,46.85,5.89,428,1,17.98,7.21,0.69
9935,22.83,16.55,9.19,490,4,1.79,3.25,1.34
6738,7.61,37.74,9.37,565,3,8.86,5.54,1.59
8963,11.08,90.39,7.2,590,2,12.1,2.77,1.4
